Humidity,Voltage
47.00,0.83
47.00,0.82
47.00,0.81
47.00,0.82
47.00,0.82
47.00,0.83
47.00,0.83
47.00,0.83,event
47.00,0.83
47.00,0.83
47.00,0.83
47.00,0.82
47.00,0.82
48.00,0.82
48.00,0.83
