Humidity,Voltage
69.00,1.18
70.00,0.97
68.00,1.40
68.00,1.38
68.00,1.29
68.00,1.38
68.00,1.43
67.00,1.43
67.00,1.32
67.00,1.67
66.00,1.75
66.00,0.97
66.00,1.46
66.00,1.50
66.00,1.48
67.00,1.44
67.00,1.35
67.00,1.40
68.00,1.37
69.00,1.35
69.00,1.21
69.00,1.29
68.00,1.37
68.00,1.33
68.00,1.33,event
68.00,1.38
67.00,1.42
67.00,1.44
67.00,1.39
67.00,1.25
